2022-04-28 14:50:07,171 | INFO | postprocessing_manager | Post-process manager beginning to spawn processes | {'serverid': 'Yanbings-MacBook-Pro.local', 'environment': 'DEF_ENV', 'ownername': 'postprocessing_manager', 'ownerpid': 62437, 'parentname': None}
2022-04-28 14:50:07,172 | INFO | postprocessing_manager | Post-process manager spawning raw_data_feed_w, <function raw_data_feed at 0x120063f70>, ('trajectories', 'raw_trajectories_one', 50, <AutoProxy[Queue] object, typeid 'Queue' at 0x138992dc0>, 'west') | {'serverid': 'Yanbings-MacBook-Pro.local', 'environment': 'DEF_ENV', 'ownername': 'postprocessing_manager', 'ownerpid': 62437, 'parentname': None}
2022-04-28 14:50:07,179 | INFO | postprocessing_manager | Post-process manager spawning stitcher_w, <function stitch_raw_trajectory_fragments at 0x13898c9d0>, ('west', <AutoProxy[Queue] object, typeid 'Queue' at 0x138992dc0>, <AutoProxy[Queue] object, typeid 'Queue' at 0x120190e20>) | {'serverid': 'Yanbings-MacBook-Pro.local', 'environment': 'DEF_ENV', 'ownername': 'postprocessing_manager', 'ownerpid': 62437, 'parentname': None}
2022-04-28 14:50:07,186 | INFO | postprocessing_manager | Started all processes. | {'serverid': 'Yanbings-MacBook-Pro.local', 'environment': 'DEF_ENV', 'ownername': 'postprocessing_manager', 'ownerpid': 62437, 'parentname': None}
2022-04-28 14:50:20,258 | INFO | postprocessing_manager | Sent SIGKILL to PID=73607 (raw_data_feed_w) | {'serverid': 'Yanbings-MacBook-Pro.local', 'environment': 'DEF_ENV', 'ownername': 'postprocessing_manager', 'ownerpid': 62437, 'parentname': None}
2022-04-28 14:50:20,260 | INFO | postprocessing_manager | Sent SIGKILL to PID=73608 (stitcher_w) | {'serverid': 'Yanbings-MacBook-Pro.local', 'environment': 'DEF_ENV', 'ownername': 'postprocessing_manager', 'ownerpid': 62437, 'parentname': None}
2022-04-28 16:33:34,476 | INFO | postprocessing_manager | Post-process manager beginning to spawn processes | {'serverid': 'Yanbings-MacBook-Pro.local', 'environment': 'DEF_ENV', 'ownername': 'postprocessing_manager', 'ownerpid': 62437, 'parentname': None}
2022-04-28 16:33:34,476 | INFO | postprocessing_manager | Post-process manager beginning to spawn processes | {'serverid': 'Yanbings-MacBook-Pro.local', 'environment': 'DEF_ENV', 'ownername': 'postprocessing_manager', 'ownerpid': 62437, 'parentname': None}
2022-04-28 16:33:34,478 | INFO | postprocessing_manager | Post-process manager spawning raw_data_feed_w, <function raw_data_feed at 0x138bab790>, ('trajectories', 'raw_trajectories_one', 50, <AutoProxy[Queue] object, typeid 'Queue' at 0x11fff20d0>, 'west') | {'serverid': 'Yanbings-MacBook-Pro.local', 'environment': 'DEF_ENV', 'ownername': 'postprocessing_manager', 'ownerpid': 62437, 'parentname': None}
2022-04-28 16:33:34,478 | INFO | postprocessing_manager | Post-process manager spawning raw_data_feed_w, <function raw_data_feed at 0x138bab790>, ('trajectories', 'raw_trajectories_one', 50, <AutoProxy[Queue] object, typeid 'Queue' at 0x11fff20d0>, 'west') | {'serverid': 'Yanbings-MacBook-Pro.local', 'environment': 'DEF_ENV', 'ownername': 'postprocessing_manager', 'ownerpid': 62437, 'parentname': None}
2022-04-28 16:33:34,487 | INFO | postprocessing_manager | Post-process manager spawning stitcher_w, <function stitch_raw_trajectory_fragments at 0x138bafca0>, ('west', <AutoProxy[Queue] object, typeid 'Queue' at 0x11fff20d0>, <AutoProxy[Queue] object, typeid 'Queue' at 0x138bad400>) | {'serverid': 'Yanbings-MacBook-Pro.local', 'environment': 'DEF_ENV', 'ownername': 'postprocessing_manager', 'ownerpid': 62437, 'parentname': None}
